"long","lat","order","hole","piece","group","id","country"
-116.08516517,33.42593288,7,FALSE,"1","p11.1","p11","USA"
-116.10605115,32.61687524,8,FALSE,"1","p11.1","p11","USA"
-82.55704283,37.90585305,1,FALSE,"1","p110.1","p110","USA"
-81.94808483,37.52495806,2,FALSE,"1","p110.1","p110","USA"
-82.86918432,36.97418306,3,FALSE,"1","p110.1","p110","USA"
-83.52927311,36.94983587,4,FALSE,"1","p110.1","p110","USA"
-83.52235433,37.63837605,5,FALSE,"1","p110.1","p110","USA"
-82.92538333,37.48660705,6,FALSE,"1","p110.1","p110","USA"
-82.55704283,37.90585305,7,FALSE,"1","p110.1","p110","USA"
-82.55704283,37.90585305,8,FALSE,"2","p110.2","p110","USA"
-83.34132033,38.31950705,9,FALSE,"2","p110.2","p110","USA"
-82.60811234,38.46105255,10,FALSE,"2","p110.2","p110","USA"
-82.55704283,37.90585305,11,FALSE,"2","p110.2","p110","USA"
-80.51921836,41.48901406,1,FALSE,"1","p111.1","p111","USA"
-80.51902036,40.85133806,2,FALSE,"1","p111.1","p111","USA"
-80.55625685,40.54400606,3,FALSE,"1","p111.1","p111","USA"
-80.86199535,40.59940506,4,FALSE,"1","p111.1","p111","USA"
-81.64995035,40.63496805,5,FALSE,"1","p111.1","p111","USA"
-81.64774736,40.98866005,6,FALSE,"1","p111.1","p111","USA"
-82.12951936,40.99206405,7,FALSE,"1","p111.1","p111","USA"
-82.33651836,41.06586005,8,FALSE,"1","p111.1","p111","USA"
-82.34259036,41.28513805,9,FALSE,"1","p111.1","p111","USA"
-82.87228686,41.36017705,10,FALSE,"1","p111.1","p111","USA"
-83.88110335,41.16771004,11,FALSE,"1","p111.1","p111","USA"
-83.88282536,41.48750804,12,FALSE,"1","p111.1","p111","USA"
-84.34227936,41.48549704,13,FALSE,"1","p111.1","p111","USA"
-84.39943036,41.70576104,14,FALSE,"1","p111.1","p111","USA"
-83.76303936,41.72355104,15,FALSE,"1","p111.1","p111","USA"
-83.46883477,41.73575568,16,FALSE,"1","p111.1","p111","USA"
-82.69776084,41.50787873,17,FALSE,"1","p111.1","p111","USA"
-82.55118847,41.40223564,18,FALSE,"1","p111.1","p111","USA"
-82.01197336,41.51561605,19,FALSE,"1","p111.1","p111","USA"
-81.74473036,41.48715705,20,FALSE,"1","p111.1","p111","USA"
-81.00303536,41.85479305,21,FALSE,"1","p111.1","p111","USA"
-80.51938797,41.90075886,22,FALSE,"1","p111.1","p111","USA"
-80.51921836,41.48901406,23,FALSE,"1","p111.1","p111","USA"
-81.72548534,39.21550006,1,FALSE,"1","p112.1","p112","USA"
-81.90864534,38.87846106,2,FALSE,"1","p112.1","p112","USA"
-82.03596334,39.02547805,3,FALSE,"1","p112.1","p112","USA"
-82.60811234,38.46105255,4,FALSE,"1","p112.1","p112","USA"
-82.89039334,38.75627705,5,FALSE,"1","p112.1","p112","USA"
-83.70528233,38.64022005,6,FALSE,"1","p112.1","p112","USA"
-83.67301934,39.02044605,7,FALSE,"1","p112.1","p112","USA"
-83.86576134,39.24736105,8,FALSE,"1","p112.1","p112","USA"
-83.26673834,39.51624905,9,FALSE,"1","p112.1","p112","USA"
-83.25243534,39.69543805,10,FALSE,"1","p112.1","p112","USA"
-83.20626635,40.10783805,11,FALSE,"1","p112.1","p112","USA"
-83.50394035,40.11130704,12,FALSE,"1","p112.1","p112","USA"
-84.43268635,40.19713704,13,FALSE,"1","p112.1","p112","USA"
-84.42589034,39.91943404,14,FALSE,"1","p112.1","p112","USA"
-84.81162134,39.96091804,15,FALSE,"1","p112.1","p112","USA"
-84.80412035,40.35284404,16,FALSE,"1","p112.1","p112","USA"
-84.80358235,41.27107904,17,FALSE,"1","p112.1","p112","USA"
-84.80608236,41.69609003,18,FALSE,"1","p112.1","p112","USA"
-84.39943036,41.70576104,19,FALSE,"1","p112.1","p112","USA"
-84.34227936,41.48549704,20,FALSE,"1","p112.1","p112","USA"
-83.88282536,41.48750804,21,FALSE,"1","p112.1","p112","USA"
-83.88110335,41.16771004,22,FALSE,"1","p112.1","p112","USA"
-82.87228686,41.36017705,23,FALSE,"1","p112.1","p112","USA"
-82.34259036,41.28513805,24,FALSE,"1","p112.1","p112","USA"
-82.33651836,41.06586005,25,FALSE,"1","p112.1","p112","USA"
-82.12951936,40.99206405,26,FALSE,"1","p112.1","p112","USA"
-81.64774736,40.98866005,27,FALSE,"1","p112.1","p112","USA"
-81.64995035,40.63496805,28,FALSE,"1","p112.1","p112","USA"
-80.86199535,40.59940506,29,FALSE,"1","p112.1","p112","USA"
-80.55625685,40.54400606,30,FALSE,"1","p112.1","p112","USA"
-80.88036035,39.62070706,31,FALSE,"1","p112.1","p112","USA"
-81.72548534,39.21550006,32,FALSE,"1","p112.1","p112","USA"
-83.50394035,40.11130704,1,FALSE,"1","p113.1","p113","USA"
-83.20626635,40.10783805,2,FALSE,"1","p113.1","p113","USA"
-83.25243534,39.69543805,3,FALSE,"1","p113.1","p113","USA"
-83.26673834,39.51624905,4,FALSE,"1","p113.1","p113","USA"
-83.86576134,39.24736105,5,FALSE,"1","p113.1","p113","USA"
-83.97700234,39.56919604,6,FALSE,"1","p113.1","p113","USA"
-84.81495634,39.56725104,7,FALSE,"1","p113.1","p113","USA"
-84.81162134,39.96091804,8,FALSE,"1","p113.1","p113","USA"
-84.42589034,39.91943404,9,FALSE,"1","p113.1","p113","USA"
-84.43268635,40.19713704,10,FALSE,"1","p113.1","p113","USA"
-83.50394035,40.11130704,11,FALSE,"1","p113.1","p113","USA"
-84.50594434,39.09486104,1,FALSE,"1","p114.1","p114","USA"
-84.82015834,39.10548104,2,FALSE,"1","p114.1","p114","USA"
-84.81495634,39.56725104,3,FALSE,"1","p114.1","p114","USA"
-83.97700234,39.56919604,4,FALSE,"1","p114.1","p114","USA"
-83.86576134,39.24736105,5,FALSE,"1","p114.1","p114","USA"
-83.67301934,39.02044605,6,FALSE,"1","p114.1","p114","USA"
-83.70528233,38.64022005,7,FALSE,"1","p114.1","p114","USA"
-84.50594434,39.09486104,8,FALSE,"1","p114.1","p114","USA"
-78.97464035,40.39595607,1,FALSE,"1","p115.1","p115","USA"
-79.43456085,39.72132806,2,FALSE,"1","p115.1","p115","USA"
-79.76377435,39.72077706,3,FALSE,"1","p115.1","p115","USA"
-80.51934335,39.72140406,4,FALSE,"1","p115.1","p115","USA"
-80.55625685,40.54400606,5,FALSE,"1","p115.1","p115","USA"
-80.51902036,40.85133806,6,FALSE,"1","p115.1","p115","USA"
-80.15853536,40.85515706,7,FALSE,"1","p115.1","p115","USA"
-79.99977936,41.17191306,8,FALSE,"1","p115.1","p115","USA"
-79.21019836,41.04909106,9,FALSE,"1","p115.1","p115","USA"
-79.45377035,40.48427106,10,FALSE,"1","p115.1","p115","USA"
-78.97464035,40.39595607,11,FALSE,"1","p115.1","p115","USA"
-79.05725334,38.76141407,1,FALSE,"1","p116.1","p116","USA"
-79.28297234,38.41809607,2,FALSE,"1","p116.1","p116","USA"
-79.64907534,38.59151607,3,FALSE,"1","p116.1","p116","USA"
-79.95984534,38.06369807,4,FALSE,"1","p116.1","p116","USA"
-80.22098533,37.62776707,5,FALSE,"1","p116.1","p116","USA"
-80.45317533,37.36956607,6,FALSE,"1","p116.1","p116","USA"
-80.85955733,37.42956906,7,FALSE,"1","p116.1","p116","USA"
-81.06881633,37.62321806,8,FALSE,"1","p116.1","p116","USA"
-80.76976133,37.98537406,9,FALSE,"1","p116.1","p116","USA"
-81.23179234,38.26336206,10,FALSE,"1","p116.1","p116","USA"
-81.19411334,38.52763406,11,FALSE,"1","p116.1","p116","USA"
-81.63260734,38.55447006,12,FALSE,"1","p116.1","p116","USA"
-81.90864534,38.87846106,13,FALSE,"1","p116.1","p116","USA"
-81.72548534,39.21550006,14,FALSE,"1","p116.1","p116","USA"
-80.88036035,39.62070706,15,FALSE,"1","p116.1","p116","USA"
-80.55625685,40.54400606,16,FALSE,"1","p116.1","p116","USA"
